packet_id,blinded_agent_id,scenario,trial,step,phase,rater_id,behavioural_consistency,memory_coherence,planning_plausibility,response_naturalness,believable_yes_no,notes
decision_9a7818f42f,agent_7ec23497,commons_dilemma,3,0,early,ai_pilot_rater,4,3,3,3,yes,"Step0 blank memory + blank memory_cited -> MC=3 (N/A). Request 10 (1.6x fair) modest, persona-consistent for artist; plan ref generic."
decision_29a340400a,agent_469cc116,commons_dilemma,14,0,early,ai_pilot_rater,3,1,3,3,no,Step0 blank memory but memory_cited NON-EMPTY ('I recall a previous instance...') -> confabulation -> MC=1. Reasoning generic.
decision_f2ffc7a9e0,agent_e22aa102,commons_dilemma,0,0,early,ai_pilot_rater,3,1,3,3,no,Step0 blank memory + confabulated memory_cited ('Last time I received 15 credits') -> MC=1. Request 20 (3.2x fair) with weak group-awareness.
decision_d12e0cfd06,agent_643d1daa,commons_dilemma,10,0,early,ai_pilot_rater,3,1,3,3,no,Step0 blank memory + confabulation ('I recall a time when collaboration...') -> MC=1. Plan ref mentions mayoral campaign not in goals; mild inconsistency.
decision_0e018d4e16,agent_90f8f7a4,commons_dilemma,9,50,middle,ai_pilot_rater,4,2,3,3,yes,"Memory tab rich (coordinated last round). memory_cited vague ('importance of fairness') not tied to specific tab fact -> MC=2. Request 6 = fair share, consistent."
decision_242bf5a213,agent_299e4bc2,commons_dilemma,3,50,middle,ai_pilot_rater,4,3,3,4,yes,"memory_cited references oversubscription which matches tab (group exceeded limit) but loosely ('previous rounds') -> MC=3. Good restraint, natural-ish."
decision_3ccec61de0,agent_284fa016,commons_dilemma,14,50,middle,ai_pilot_rater,4,4,3,4,yes,"memory_cited 'oversubscription issue last round' matches tab precisely -> MC=4. Request 6 fair, consistent w/ organized persona."
decision_1995c47185,agent_bfc3e04d,commons_dilemma,19,50,middle,ai_pilot_rater,4,3,3,3,yes,memory_cited 'staying within fair share helped maintain trust' aligns w/ tab (coordinated) but somewhat generic -> MC=3.
decision_a9bd855b94,agent_8731abae,commons_dilemma,6,99,late,ai_pilot_rater,2,3,3,3,no,"Persona 'loud, rude, toxic' but reasoning is mild/cooperative w/ no trace of that character -> BC=2 (tension). MC=3 generic-but-aligned."
decision_d7eee68304,agent_aa64e2d8,commons_dilemma,16,99,late,ai_pilot_rater,4,3,3,3,yes,memory_cited aligns w/ coordinated tab but generic phrasing -> MC=3. Consistent restraint.
decision_5400074511,agent_38754164,commons_dilemma,0,99,late,ai_pilot_rater,4,5,3,4,yes,memory_cited names 'step 98' oversubscription matching tab exactly -> MC=5. Strong specific memory use; consistent w/ detail-oriented persona.
decision_77b97872c8,agent_8834fdfa,commons_dilemma,17,99,late,ai_pilot_rater,4,3,3,4,yes,"memory_cited aligns w/ coordinated tab, somewhat generic -> MC=3. Reasoning reads naturally for friendly persona."
